n,p = λ/n,MAE,MSE,Sai số lớn nhất,Sai số tương đối,np = λ
5,0.600000,0.029211,0.00223806,0.121558,0.4382,3.000
10,0.300000,0.011521,0.00030769,0.042786,0.1728,3.000
20,0.150000,0.005360,0.00006234,0.018787,0.0804,3.000
50,0.060000,0.002056,0.00000894,0.007015,0.0308,3.000
100,0.030000,0.001014,0.00000216,0.003432,0.0152,3.000
200,0.015000,0.000504,0.00000053,0.001698,0.0076,3.000
