n,p,MAE,MSE,Max Error,np
5,0.6,0.029211,0.002238,0.121558,3.000
10,0.3,0.011521,0.000308,0.042786,3.000
20,0.15,0.005360,0.000062,0.018787,3.000
50,0.06,0.002056,0.000009,0.007015,3.000
100,0.03,0.001014,0.000002,0.003432,3.000
200,0.015,0.000504,0.000001,0.001698,3.000
